Rooms,Price,Area,Location,Price_m2
4,892500,168.0,Porto,5312.5
1,237500,45.0,Lisboa,5277.78
3,149900,156.82,Portalegre,955.87
2,260000,121.0,Lisboa,2148.76
0,206340,51.6,Porto,3998.84
3,479990,140.0,Lisboa,3428.5
2,380000,82.0,Lisboa,4634.15
2,685000,110.01,Lisboa,6226.71
2,455000,149.0,Faro,3053.69
3,1550000,245.5,Lisboa,6313.65
1,300000,61.6,Ilha da Madeira,4870.13
0,395000,58.0,Lisboa,6810.34
4,329000,160.0,Setúbal,2056.25
3,749900,115.9,Lisboa,6470.23
2,186000,98.0,Porto,1897.96
4,1028200,175.5,Faro,5858.69
0,420800,45.76,Setúbal,9195.8
4,920000,159.0,Lisboa,5786.16
0,525000,50.0,Lisboa,10500.0
2,860000,172.9,Faro,4973.97
3,350000,120.0,Setúbal,2916.67
2,795000,110.96,Faro,7164.74
3,590000,139.0,Ilha da Madeira,4244.6
3,1700000,160.0,Lisboa,10625.0
3,287000,102.0,Setúbal,2813.73
2,255000,118.0,Leiria,2161.02
2,660000,122.67,Lisboa,5380.29
3,215000,118.0,Porto,1822.03
2,273000,96.0,Aveiro,2843.75
2,280000,72.0,Leiria,3888.89
2,300000,77.32,Aveiro,3879.98
4,4500000,207.0,Lisboa,21739.13
2,260000,200.0,Santarém,1300.0
3,331000,125.85,Faro,2630.12
2,365288,88.76,Faro,4115.46
2,236000,97.0,Aveiro,2432.99
2,325000,99.0,Porto,3282.83
2,249900,80.0,Porto,3123.75
3,415000,120.0,Faro,3458.33
2,424000,100.28,Faro,4228.16
2,340000,117.5,Porto,2893.62
3,265900,100.0,Porto,2659.0
4,102000,103.0,Santarém,990.29
1,475000,59.0,Lisboa,8050.85
2,369285,78.55,Porto,4701.27
2,282500,107.7,Porto,2623.03
3,350000,90.0,Lisboa,3888.89
3,190000,90.0,Setúbal,2111.11
2,325000,83.0,Porto,3915.66
2,395000,104.0,Aveiro,3798.08
3,345000,100.0,Setúbal,3450.0
3,2500000,186.18,Lisboa,13427.87
3,850000,140.0,Lisboa,6071.43
1,520000,87.0,Lisboa,5977.01
2,169900,85.0,Braga,1998.82
3,390000,114.0,Setúbal,3421.05
3,470000,125.0,Porto,3760.0
3,1900000,160.0,Lisboa,11875.0
3,225000,92.0,Lisboa,2445.65
1,125000,60.0,Faro,2083.33
3,244900,138.0,Braga,1774.64
2,350000,65.0,Lisboa,5384.62
3,590000,172.0,Setúbal,3430.23
3,695000,136.8,Porto,5080.41
2,485000,65.0,Faro,7461.54
2,159500,70.0,Setúbal,2278.57
2,197500,80.0,Setúbal,2468.75
5,459500,140.0,Porto,3282.14
3,159000,120.0,Vila Real,1325.0
2,285000,80.0,Braga,3562.5
2,209000,79.74,Leiria,2621.02
2,165000,96.0,Braga,1718.75
3,340000,115.0,Lisboa,2956.52
5,675040,140.25,Aveiro,4813.12
4,305000,182.0,Porto,1675.82
2,328000,71.01,Porto,4619.07
3,299000,146.0,Porto,2047.95
4,1290000,196.0,Lisboa,6581.63
3,623500,132.26,Porto,4714.2
3,247000,78.0,Lisboa,3166.67
3,1023000,141.7,Lisboa,7219.48
2,239500,87.8,Faro,2727.79
0,169000,39.0,Porto,4333.33
5,1390000,240.0,Lisboa,5791.67
3,641300,148.0,Faro,4333.11
2,320000,105.0,Porto,3047.62
4,850000,189.0,Lisboa,4497.35
2,400000,83.0,Lisboa,4819.28
1,340000,74.0,Porto,4594.59
2,255000,98.1,Setúbal,2599.39
2,235000,105.0,Viana do Castelo,2238.1
2,135000,59.0,Setúbal,2288.14
1,230000,48.0,Faro,4791.67
1,250000,85.05,Braga,2939.45
0,145000,34.0,Porto,4264.71
3,337000,106.0,Porto,3179.25
3,491000,125.45,Setúbal,3913.91
2,177500,85.0,Porto,2088.24
1,235000,42.0,Faro,5595.24
3,232500,125.53,Setúbal,1852.15
2,630000,77.0,Lisboa,8181.82
2,150000,80.0,Braga,1875.0
4,2200000,312.0,Lisboa,7051.28
2,390000,91.0,Ilha da Madeira,4285.71
2,682000,117.0,Lisboa,5829.06
4,1250000,217.06,Porto,5758.78
3,215000,70.0,Lisboa,3071.43
2,185000,94.18,Aveiro,1964.32
0,300000,38.0,Lisboa,7894.74
2,684000,115.9,Lisboa,5901.64
4,2474027,238.0,Porto,10395.07
2,329000,77.0,Setúbal,4272.73
2,239900,84.9,Porto,2825.68
3,540000,126.0,Porto,4285.71
2,2242891,141.83,Lisboa,15813.94
