,Rooms,Price,Area,Location,Price_m2
7651,3,180000,134.0,Braga,1343.28
3339,3,720000,136.0,Lisboa,5294.12
639,3,775000,139.0,Lisboa,5575.54
12802,2,155000,95.0,Braga,1631.58
5145,1,345000,84.3,Setúbal,4092.53
13291,2,217000,64.0,Porto,3390.62
14444,4,2200000,220.0,Lisboa,10000.0
7182,3,299500,105.0,Lisboa,2852.38
15663,2,310000,109.79,Setúbal,2823.57
1561,2,309990,115.85,Lisboa,2675.79
8578,2,305000,100.0,Setúbal,3050.0
1484,4,350000,124.0,Santarém,2822.58
7243,1,157500,70.0,Porto,2250.0
7231,3,630000,134.0,Porto,4701.49
15629,1,285000,65.0,Faro,4384.62
5312,2,415000,99.21,Faro,4183.05
15868,3,260000,108.06,Porto,2406.07
15227,5,550000,269.4,Coimbra,2041.57
5608,3,269000,117.0,Viana do Castelo,2299.15
9880,4,3300000,244.05,Lisboa,13521.82
4013,3,115000,98.0,Leiria,1173.47
12065,3,470120,130.81,Aveiro,3593.91
13985,5,450000,123.4,Lisboa,3646.68
11219,4,845000,267.0,Setúbal,3164.79
3172,3,300000,115.0,Braga,2608.7
7450,5,2250000,311.0,Lisboa,7234.73
1703,2,249000,89.2,Faro,2791.48
14875,3,280500,128.0,Braga,2191.41
3149,2,355000,101.45,Faro,3499.26
2211,3,420000,112.0,Faro,3750.0
15726,3,320000,145.0,Braga,2206.9
14308,1,289900,43.0,Lisboa,6741.86
10755,1,171000,46.0,Leiria,3717.39
11853,3,921000,115.0,Lisboa,8008.7
14347,3,780000,120.0,Lisboa,6500.0
6928,4,420000,180.0,Aveiro,2333.33
8558,0,79800,54.8,Santarém,1456.2
8294,3,385000,180.0,Aveiro,2138.89
9536,2,650000,122.0,Ilha da Madeira,5327.87
10718,2,269500,78.0,Porto,3455.13
2948,3,698000,117.35,Lisboa,5948.02
9197,3,1100000,173.5,Lisboa,6340.06
