,Index,Type,Price,Area,Location,Price_m2
917,950,T2,290000,91.2,Porto,3179.82
918,951,T1,980000,110.0,Lisboa,8909.09
919,952,T4,480000,102.0,Lisboa,4705.88
920,953,T2,239000,130.0,Porto,1838.46
921,954,T4,340000,138.0,Faro,2463.77
922,955,T1,280000,61.0,Lisboa,4590.16
923,956,T2,315000,87.0,Braga,3620.69
924,957,T3,219900,116.0,Braga,1895.69
925,959,T3,249900,110.0,Braga,2271.82
926,960,T3,219000,116.0,Braga,1887.93
927,961,T3,620000,140.0,Lisboa,4428.57
928,962,T3,1180000,102.68,Lisboa,11492.01
929,963,T2,790000,86.81,Setúbal,9100.33
930,964,T2,155900,120.0,Braga,1299.17
931,965,T2,295000,83.1,Lisboa,3549.94
932,966,T2,210000,100.0,Braga,2100.0
933,968,T2,155000,161.6,Aveiro,959.16
934,969,T1,31500,70.0,Faro,450.0
935,970,T2,219900,72.0,Porto,3054.17
936,971,T1,195310,63.7,Porto,3066.09
937,972,T3,284780,87.05,Porto,3271.45
938,973,T2,515000,177.95,Setúbal,2894.07
939,974,T2,649000,104.0,Lisboa,6240.38
940,975,T2,470010,125.0,Porto,3760.08
941,976,T3,315000,132.0,Porto,2386.36
942,977,T3,229000,106.0,Setúbal,2160.38
943,978,T2,325000,155.4,Lisboa,2091.38
944,979,T3,398000,97.0,Lisboa,4103.09
945,980,T3,217500,93.38,Lisboa,2329.19
946,981,T4,335000,107.0,Lisboa,3130.84
947,982,T2,315000,101.5,Lisboa,3103.45
948,983,T2,355000,54.25,Lisboa,6543.78
949,984,T2,194500,148.08,Porto,1313.48
950,985,T2,670000,131.73,Porto,5086.16
951,986,T2,245000,95.0,Lisboa,2578.95
952,987,T1,520000,95.36,Porto,5453.02
953,988,T3,120000,101.25,Coimbra,1185.19
954,989,T4,970000,152.0,Porto,6381.58
955,990,T1,169900,36.0,Porto,4719.44
956,991,T3,385000,165.0,Faro,2333.33
957,992,T2,140000,109.0,Setúbal,1284.4
958,993,T2,229500,120.0,Porto,1912.5
959,994,T2,249000,65.0,Setúbal,3830.77
960,995,T2,265000,93.0,Porto,2849.46
961,996,T3,960000,130.0,Lisboa,7384.62
962,997,T2,380000,96.9,Porto,3921.57
963,998,T2,235000,125.0,Porto,1880.0
964,999,T2,550000,90.0,Lisboa,6111.11
965,1000,T2,340000,55.0,Lisboa,6181.82
966,1001,T4,407000,165.0,Faro,2466.67
967,1002,T0,189000,45.0,Faro,4200.0
968,1003,T2,235000,121.3,Coimbra,1937.35
969,1004,T3,249900,110.0,Braga,2271.82
970,1006,T3,265000,124.0,Lisboa,2137.1
971,1007,T2,175000,69.0,Porto,2536.23
972,1008,T0,259000,72.0,Faro,3597.22
973,1009,T2,229000,68.26,Lisboa,3354.82
974,1010,T4,99000,102.0,Leiria,970.59
975,1011,T2,210000,100.0,Braga,2100.0
976,1012,T3,850000,150.0,Faro,5666.67
977,1013,T2,208900,60.0,Lisboa,3481.67
978,1014,T2,850000,114.0,Faro,7456.14
979,1015,T2,240000,70.0,Faro,3428.57
980,1016,T2,320000,108.67,Porto,2944.69
981,1017,T3,180000,83.0,Porto,2168.67
982,1018,T3,330000,135.0,Porto,2444.44
983,1020,T3,406095,139.11,Porto,2919.24
984,1021,T2,420000,89.0,Porto,4719.1
985,1022,T1,800000,77.0,Lisboa,10389.61
986,1023,T4,302000,98.0,Lisboa,3081.63
987,1024,T3,177000,80.0,Setúbal,2212.5
988,1025,T2,210000,100.0,Braga,2100.0
989,1026,T2,187000,76.0,Lisboa,2460.53
990,1027,T3,232500,125.53,Setúbal,1852.15
991,1028,T2,195000,89.3,Porto,2183.65
992,1029,T1,288000,43.46,Lisboa,6626.78
993,1030,T2,240000,115.0,Faro,2086.96
994,1031,T2,147500,67.0,Aveiro,2201.49
995,1032,T2,380000,85.2,Faro,4460.09
996,1033,T3,335000,122.0,Porto,2745.9
997,1034,T0,106000,38.0,Braga,2789.47
998,1035,T2,224500,64.0,Lisboa,3507.81
999,1037,T2,529000,111.9,Lisboa,4727.44
1000,1038,T1,207000,56.0,Lisboa,3696.43
1001,1039,T2,285000,105.0,Porto,2714.29
1002,1040,T3,299000,89.0,Faro,3359.55
1003,1041,T3,249000,115.0,Lisboa,2165.22
1004,1042,T3,175000,122.0,Aveiro,1434.43
1005,1043,T2,178000,70.0,Lisboa,2542.86
1006,1044,T4,1200000,188.0,Porto,6382.98
1007,1045,T3,240000,99.0,Setúbal,2424.24
1008,1046,T3,307000,135.0,Lisboa,2274.07
1009,1047,T1,250000,43.0,Lisboa,5813.95
1010,1048,T2,198000,65.0,Lisboa,3046.15
1011,1049,T3,425000,102.0,Lisboa,4166.67
1012,1050,T2,417000,84.0,Lisboa,4964.29
1013,1051,T3,159500,115.0,Leiria,1386.96
1014,1052,T3,190000,124.0,Leiria,1532.26
1015,1053,T3,220000,119.5,Faro,1841.0
1016,1055,T2,372000,88.0,Porto,4227.27
1017,1056,T3,580000,110.0,Lisboa,5272.73
1018,1057,T3,545000,166.7,Lisboa,3269.35
1019,1058,T1,262000,57.0,Porto,4596.49
1020,1059,T2,255000,113.0,Porto,2256.64
1021,1060,T3,595000,108.29,Lisboa,5494.51
1022,1061,T3,395000,111.0,Porto,3558.56
1023,1062,T2,288000,75.0,Lisboa,3840.0
1024,1063,T2,575000,139.19,Faro,4131.04
1025,1064,T3,350000,107.0,Porto,3271.03
1026,1065,T4,387500,135.0,Porto,2870.37
1027,1066,T3,367500,135.0,Porto,2722.22
1028,1067,T2,640000,98.0,Faro,6530.61
1029,1068,T3,510000,119.0,Setúbal,4285.71
1030,1069,T4,650000,197.31,Setúbal,3294.31
1031,1070,T2,199900,89.1,Porto,2243.55
1032,1071,T3,425000,115.8,Setúbal,3670.12
1033,1072,T2,179000,89.0,Porto,2011.24
1034,1073,T2,232500,47.0,Lisboa,4946.81
1035,1074,T4,2700000,257.0,Lisboa,10505.84
1036,1075,T3,320000,117.0,Faro,2735.04
1037,1076,T2,516000,104.0,Porto,4961.54
1038,1077,T3,836000,153.0,Porto,5464.05
1039,1078,T1,372000,75.0,Porto,4960.0
1040,1079,T3,480000,158.0,Porto,3037.97
1041,1080,T3,279500,77.0,Porto,3629.87
1042,1081,T3,259500,74.0,Porto,3506.76
1043,1082,T2,172500,80.0,Lisboa,2156.25
1044,1083,T1,225000,77.0,Porto,2922.08
1045,1084,T3,220000,132.0,Aveiro,1666.67
1046,1085,T1,265000,69.57,Porto,3809.11
1047,1086,T3,135000,147.0,Santarém,918.37
1048,1087,T1,795000,85.0,Lisboa,9352.94
1049,1088,T1,185000,72.0,Lisboa,2569.44
1050,1089,T2,850000,150.75,Faro,5638.47
1051,1090,T4,310000,125.0,Lisboa,2480.0
1052,1091,T2,195300,84.93,Coimbra,2299.54
1053,1092,T1,135700,59.32,Coimbra,2287.59
1054,1093,T2,155000,90.0,Setúbal,1722.22
1055,1094,T3,615000,134.0,Porto,4589.55
1056,1095,T2,350000,72.0,Coimbra,4861.11
1057,1096,T1,179500,42.0,Coimbra,4273.81
1058,1098,T2,159900,63.0,Braga,2538.1
1059,1099,T3,285000,142.0,Porto,2007.04
1060,1100,T3,184000,95.0,Porto,1936.84
1061,1101,T1,225000,77.0,Porto,2922.08
1062,1102,T2,120000,115.0,Setúbal,1043.48
1063,1103,T3,475000,165.0,Setúbal,2878.79
1064,1104,T3,330000,106.0,Porto,3113.21
1065,1105,T3,495000,119.0,Porto,4159.66
1066,1106,T2,285000,77.7,Porto,3667.95
1067,1107,T2,219000,63.0,Lisboa,3476.19
1068,1109,T2,185000,81.0,Setúbal,2283.95
1069,1110,T3,262000,138.0,Santarém,1898.55
1070,1111,T4,1400000,227.0,Porto,6167.4
1071,1113,T2,229000,94.0,Porto,2436.17
1072,1114,T3,185000,100.0,Porto,1850.0
1073,1115,T2,3400000,326.0,Lisboa,10429.45
